points,place,long_place,competition.id,competitor.id
500,3.0,3. place,2296,2775_44_12
500,3.0,3. place,2282,2775_44_12
6,,participation,2293,2775_44_12
1000,1.0,1. place,2239,2775_44_12
396,5.0,5. place,2035,2775_44_12
350,2.0,2. place,2260,2775_44_12
350,2.0,2. place,2234,2775_44_12
350,2.0,2. place,2230,2775_44_12
100,,participation,2180,2775_44_12
1000,1.0,1. place,2311,13028_8_3
1000,3.0,3. place,2298,13028_8_3
1000,1.0,1. place,2296,13028_8_3
1000,1.0,1. place,2284,13028_8_3
160,,1/16,2282,13028_8_3
700,1.0,1. place,2293,13028_8_3
360,5.0,5. place,2239,13028_8_3
350,1.0,1. place,2253,13028_8_3
250,3.0,3. place,2267,13028_8_3
250,3.0,3. place,2260,13028_8_3
1000,1.0,1. place,2364,13713_24_14
720,5.0,5. place,2298,13713_24_14
700,1.0,1. place,2306,13713_24_14
700,2.0,2. place,2289,13713_24_14
500,3.0,3. place,2296,13713_24_14
490,2.0,2. place,2293,13713_24_14
500,1.0,1. place,2260,13713_24_14
500,1.0,1. place,2234,13713_24_14
250,3.0,3. place,2317,13713_24_14
250,3.0,3. place,2267,13713_24_14
180,5.0,5. place,2233,13713_24_14
100,,participation,2180,13713_24_14
1000,1.0,1. place,2364,17378_17_9
1000,1.0,1. place,2311,17378_17_9
700,2.0,2. place,2309,17378_17_9
700,2.0,2. place,2289,17378_17_9
360,5.0,5. place,2284,17378_17_9
700,1.0,1. place,2436,17378_17_9
500,1.0,1. place,2234,17378_17_9
360,5.0,5. place,2239,17378_17_9
100,,participation,2180,17378_17_9
80,,1/16,2230,17378_17_9
5,,participation,2317,17378_17_9
245,2.0,2. place,2235,17378_17_9
1400,2.0,2. place,2298,3244_51_11
700,1.0,1. place,2306,3244_51_11
360,5.0,5. place,2289,3244_51_11
360,5.0,5. place,2284,3244_51_11
260,7.0,7. place,2296,3244_51_11
490,2.0,2. place,2292,3244_51_11
550,3.0,3. place,2035,3244_51_11
500,1.0,1. place,2233,3244_51_11
250,3.0,3. place,2234,3244_51_11
100,,participation,2180,3244_51_11
350,1.0,1. place,2052,3244_51_11
2000,1.0,1. place,2298,1039_49_13
700,2.0,2. place,2288,1039_49_13
500,3.0,3. place,2296,1039_49_13
350,3.0,3. place,2306,1039_49_13
260,7.0,7. place,2289,1039_49_13
700,1.0,1. place,2292,1039_49_13
550,3.0,3. place,2035,1039_49_13
160,,1/16,2239,1039_49_13
1000,1.0,1. place,2289,9396_21_6
700,2.0,2. place,2364,9396_21_6
700,1.0,1. place,2281,9396_21_6
520,7.0,7. place,2298,9396_21_6
100,1.0,1. place,2287,9396_21_6
6,,participation,2293,9396_21_6
1000,1.0,1. place,2239,9396_21_6
