competitor.id,competitor.sum_points,competitor.place,competitor.place_prev,competitor.id_person,competitor.family_name,competitor.given_name,competitor.gender,competitor.timestamp_version,competitor.id_country,competitor.id_weight
17273_44_10,644,51,51.0,17273,TOPOLOVEC,Tihea,female,v1546584606,44,10
17198_95_7,620,51,51.0,17198,NOVA ALCANTARA,Jose,male,v1608539934,95,7
49625_21_12,611,51,51.0,49625,TIMO,Barbara,female,v1610032179,21,12
28421_4_14,610,51,52.0,28421,BASTAREAUD,Stessie,female,v1569585768,4,14
45474_49_13,509,51,50.0,45474,FREITAS,Beatriz,female,v1629446136,49,13
2757_296_1,880,52,52.0,2757,MSHVIDOBADZE,Robert,male,v1562956842,296,1
3754_60_2,836,52,52.0,3754,BASSOU,Imad,male,v1559569039,60,2
8008_25_3,831,52,52.0,8008,MROWCZYNSKI,Wiktor,male,v1611231209,25,3
2539_14_6,800,52,53.0,2539,BOZBAYEV,Islam,male,v1662435035,14,6
9316_29_5,786,52,53.0,9316,IVANOV,Ivaylo,male,v1564305274,29,5
8483_53_4,770,52,52.0,8483,MOHAMED,Abdelrahman,male,v1648562264,53,4
11713_46_11,705,52,52.0,11713,YANG,Junxia,female,v1640764160,46,11
11273_163_9,700,52,52.0,11273,KELMENDI,Majlinda,female,v1666867718,163,9
26125_49_10,630,52,52.0,26125,NASCIMENTO,Ketelyn,female,v1628011216,49,10
24406_24_8,623,52,52.0,24406,MALCA,Tamar,female,v1666259784,24,8
45333_79_12,611,52,52.0,45333,NIANGI,Maria,female,v1621421451,79,12
9772_46_14,605,52,53.0,9772,WANG,Yan,female,v1546601374,46,14
4171_16_7,590,52,52.0,4171,VAKHAVIAK,Aliaksandr,male,v1558182144,16,7
17243_113_13,472,52,52.0,17243,FIGUEROA,Camila,female,v1650891662,113,13
15998_46_3,813,53,53.0,15998,QING,Daga,male,v1546601304,46,3
7602_56_2,790,53,53.0,7602,KATZ,Nathan,male,v1564237569,56,2
13392_193_5,771,53,54.0,13392,MATIJASS,Martin,male,v1611309584,193,5
62445_61_4,762,53,53.0,62445,BATZAYA,Erdenebayar.,male,v1653922959,61,4
26420_116_1,725,53,53.0,26420,SANCHO,Sebastian,male,v1622754657,116,1
891_53_6,706,53,54.0,891,DARWISH,Ramadan,male,v1563181859,53,6
28321_13_11,700,53,53.0,28321,DOI,Masako,female,v1643677833,13,11
40546_46_9,692,53,53.0,40546,LIU,Liping,female,v1666261301,46,9
3435_28_10,621,53,53.0,3435,VERHAGEN,Sanne,female,v1544101542,28,10
3508_35_12,606,53,53.0,3508,BERNHOLM,Anna,female,v1614332011,35,12
43577_4_14,600,53,37.0,43577,HAYME,Coralie,female,v1629446172,4,14
25541_24_7,582,53,53.0,25541,KOMPANIEZ,Serafim,male,v1612168980,24,7
42927_23_8,552,53,53.0,42927,AVANZATO,Asia,female,v1580134384,23,8
12962_3_13,469,53,53.0,12962,BERGER,Sophie,female,v1618572964,3,13
18042_26_3,803,54,54.0,18042,HAM,Eric,male,v1664543370,26,3
34570_15_5,768,54,55.0,34570,HAN,Juyeop,male,v1575372879,15,5
19925_33_4,761,54,54.0,19925,MAKINEN,Oskari,male,v1544438467,33,4
17376_17_2,760,54,54.0,17376,SUBHONOV,Rakhimjon,male,v1657948061,17,2
50109_60_1,721,54,54.0,50109,SADDIKI,Younes,male,v1653921419,60,1
14830_14_6,701,54,55.0,14830,SERIKBAYEV,Aibek,male,v1568392323,14,6
3637_13_11,676,54,54.0,3637,TAKAICHI,Miku,female,v1669109956,13,11
2698_51_9,670,54,54.0,2698,GUICA,Ecaterina,female,v1575371747,51,9
18272_27_10,617,54,54.0,18272,KOVACS,Kitti,female,v1618997534,27,10
59192_266_12,603,54,54.0,59192,MOSCALU,Serafima,female,v1575021176,266,12
36086_18_7,572,54,54.0,36086,HDIOUECH,Wahib,male,v1554988432,18,7
19039_44_14,568,54,54.0,19039,VUKOVIC,Helena,female,v1653923787,44,14
12929_60_8,546,54,54.0,12929,CHAKIR,Aziza,female,v1659998872,60,8
9399_23_13,452,54,54.0,9399,POLITI,Linda,female,v1616327454,23,13
39086_50_3,795,55,55.0,39086,DRIS,Messaoud Redouane,male,v1632046170,50,3
28461_56_5,766,55,56.0,28461,CASSAR,Harrison,male,v1568391954,56,5
11665_14_2,759,55,55.0,11665,ZHUMAKANOV,Yeldos,male,v1650955364,14,2
46643_4_4,758,55,55.0,46643,AREGBA,Arnaud,male,v1641801595,4,4
44974_193_6,692,55,51.0,44974,UDSILAURI,George,male,v1642409257,193,6
14726_8_1,670,55,55.0,14726,MAMMADSOY,Davud,male,v1621592470,8,1
2045_266_9,666,55,55.0,2045,CHITU,Andreea,female,v1646152818,266,9
7935_49_11,652,55,55.0,7935,CASTILHOS,Alexia,female,v1641974922,49,11
69179_231_10,612,55,55.0,69179,ESTEVES,Mariana,female,v1666261898,231,10
63195_41_12,582,55,57.0,63195,HAWKES,Rachael,female,v1660988469,41,12
64839_48_7,560,55,55.0,64839,OMAR,Cruz Leon,male,v1628670254,48,7
26705_187_14,553,55,55.0,26705,KORO,Essohanam Noeline,female,v1652861956,187,14
9826_46_8,536,55,55.0,9826,LI,Yanan,female,v1618386516,46,8
58694_70_13,445,55,55.0,58694,DJENGUE MOUNE,Georgika Wesly,female,v1572853984,70,13
22169_84_3,762,56,56.0,22169,TURDUBAEV,Ertur,male,v1641835000,84,3
1284_35_4,756,56,56.0,1284,PACEK,Robin,male,v1614928685,35,4
1518_57_5,750,56,57.0,1518,BROWN,Colton,male,v1641485693,57,5
25540_61_2,747,56,56.0,25540,BAYANMUNKH,Narmandakh,male,v1618834130,61,2
43789_49_9,660,56,56.0,43789,LIMA,Yasmim,female,v1663939654,49,9
61580_11_1,659,56,56.0,61580,KARAKIZIDI,Savva,male,v1647856264,11,1
3820_296_11,650,56,56.0,3820,VALKOVA,Ekaterina,female,v1616593791,296,11
10361_27_6,648,56,56.0,10361,CIRJENICS,Miklos,male,v1609257633,27,6
38653_82_10,602,56,56.0,38653,BREYTENBACH,Donne,female,v1663835393,82,10
62527_70_12,565,56,55.0,62527,BIAMI,Zita Ornella,female,v1666294469,70,12
3529_193_7,560,56,56.0,3529,HEINLE,Sven,male,v1558178145,193,7
37806_23_14,523,56,56.0,37806,SIMONETTI,Erica,female,v1625148924,23,14
10805_110_8,508,56,56.0,10805,SOLIS,Jacqueline,female,v1663939514,110,8
13280_36_13,444,56,51.0,13280,DUDENAITE,Migle,female,v1666788969,36,13
20302_88_4,750,57,57.0,20302,MAKHMADBEKOV,Somon,male,v1636481005,88,4
65876_205_2,744,57,57.0,65876,KODZHAKOV,Ramazan,male,v1660000367,205,2
43238_13_5,740,57,58.0,43238,MASHIYAMA,Kosuke,male,v1663304790,13,5
22384_296_3,736,57,58.0,22384,KHAZHALIEV,Ayub,male,v1636531432,296,3
20760_8_9,649,57,57.0,20760,MAMMADALIYEVA,Gultaj,female,v1563987149,8,9
20904_10_1,644,57,57.0,20904,AKKUS,Mihrac,male,v1558177102,10,1
18716_44_6,637,57,57.0,18716,KUMRIC,Marko,male,v1653923482,44,6
8054_57_11,612,57,57.0,8054,GALLES,Alisha,female,v1612340394,57,11
3317_266_10,600,57,57.0,3317,OHAI,Loredana,female,v1666855840,266,10
13521_47_12,555,57,56.0,13521,SAMARDZIC,Aleksandra,female,v1651829972,47,12
52071_17_7,542,57,58.0,52071,TUROBOYEV,Utkirbek,male,v1658000865,17,7
13219_13_8,500,57,57.0,13219,TATSUKAWA,Rina,female,v1641835064,13,8
38715_85_14,447,57,57.0,38715,MAAN,Tulika,female,v1612168301,85,14
44971_28_13,426,57,56.0,44971,VAN HEEMST,Yael,female,v1581085995,28,13
52332_88_2,744,58,58.0,52332,SAIDABUROROV,Shahboz,male,v1618571483,88,2
41411_2_5,739,58,59.0,41411,BORCHASHVILI,Wachid,male,v1646837027,2,5
13540_44_4,728,58,58.0,13540,DRUZETA,Dominik,male,v1618573658,44,4
12564_50_3,716,58,59.0,12564,ZOURDANI,Houd,male,v1621235146,50,3
